Name,チャン
Name_Other,クン
Person,
God,
Organization,
Organization_Other,
International_Organization,&#x1f30d;
Show_Organization,&#x1f3aa;
Family,&#x1f468;
Ethnic_Group,
Ethnic_Group_Other,
Nationality,
Sports_Organization,&#x1f3df;
Sports_Organization_Other,&#x1f3df;
Pro_Sports_Organization,&#x1f3df;
Sports_League,&#x1f3df;
Corporation,&#x1f3e2;
Corporation_Other,&#x1f3e2;
Company,&#x1f3e2;
Company_Group,&#x1f3e2;
Political_Organization,&#x1f3e2;
Political_Organization_Other,&#x1f3e2;
Government,
Political_Party,
Cabinet,
Military,
Location,
Location_Other,
Spa,&#x2668;
GPE,&#x1f3d9;
GPE_Other,&#x1f3d9;
City,&#x1f3d9;
County,&#x1f3d9;
Province,&#x1f3d9;
Country,
Region,
Region_Other,
Continental_Region,&#x1f5fa;
Domestic_Region,&#x1f5fe;
Geological_Region,
Geological_Region_Other,
Mountain,&#x26f0;
Island,&#x1f3dd;
