名称,Emoji
Name,チャン
Name_Other,クン
Person,
God,
Organization,
Organization_Other,
International_Organization,&#x1f30d;
Show_Organization,&#x1f3aa;
Family,&#x1f468;
Ethnic_Group,
Ethnic_Group_Other,
Nationality,
Sports_Organization,&#x1f3df;
Sports_Organization_Other,&#x1f3df;
Pro_Sports_Organization,&#x1f3df;
Sports_League,&#x1f3df;
Corporation,&#x1f3e2;
Corporation_Other,&#x1f3e2;
Company,&#x1f3e2;
Company_Group,&#x1f3e2;
Political_Organization,&#x1f3e2;
Political_Organization_Other,&#x1f3e2;
Government,
Political_Party,
Cabinet,
Military,
Location,
Location_Other,
Spa,&#x2668;
GPE,&#x1f3d9;
GPE_Other,&#x1f3d9;
City,&#x1f3d9;
County,&#x1f3d9;
Province,&#x1f3d9;
Country,
Region,
Region_Other,
Continental_Region,&#x1f5fa;
Domestic_Region,&#x1f5fe;
Geological_Region,
Geological_Region_Other,
Mountain,&#x26f0;
Island,&#x1f3dd;
River,
Lake,
Sea,
Bay,
Astral_Body,&#x1f30d;
Astral_Body_Other,&#x1f30d;
Star,&#x2b50;
Planet,
Constellation,
Address,&#x1f4eb;
Address_Other,&#x1f4eb;
Postal_Address,
Phone_Number,&#x1f4f3;
Email,&#x1f4e7;
URL,
Facility,
Facility_Other,
Facility_Part,
Archaeological_Place,&#x1f3db;
Archaeological_Place_Other,&#x1f3db;
Tumulus,&#x1f3db;
GOE,
GOE_Other,
Public_Institution,
School,&#x1f3eb;
Research_Institution,
Market,
Park,
Sports_Facility,&#x1f3df;
Museum,
Zoo,
Amusement_Park,&#x1f3a1;
Theater,
Worship_Place,&#x26e9;
Car_Stop,&#x1f697;
Station,&#x1f683;
Airport,&#x2708;
Port,
Line,&#x1f683;
Line_Other,&#x1f683;
Railroad,
Road,
Canal,&#x1f6a2;
Water_Route,&#x1f6a2;
Tunnel,
Bridge,&#x1f309;
Product,
Product_Other,
Material,
Clothing,&#x1f455;
Money_Form,&#x1f4b0;
Drug,&#x1f48a;
Weapon,
Stock,
Award,
Decoration,
Offence,
Service,
Character,
ID_Number,
Vehicle,
Vehicle_Other,
Car,&#x1f697;
Train,&#x1f686;
Aircraft,&#x2708;
Spaceship,&#x1f6a2;
Ship,&#x1f6a2;
Food,&#x1f35a;
Food_Other,&#x1f35a;
Dish,&#x1f374;
